;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SENAI;                                            ATIVO IMOBILIZADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SISTEMA DE
CONFERÊNCIA
ON -LINE
03/2026";LOCALIZ.;NOME DO AMBIENTE;;;;;IMOB.;"Nº 
INVENTÁRIO";"DATA
INCORP.";DENOMINAÇÃO IMOBILIZADO;RESPONSÁVEL;STATUS/OCORRÊNCIA;TRANSFERÊNCIA;;DISPONIBILIDADE;;;;BAIXA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;"LOCAL
DESTINO";RESPONSÁVEL;AUTORIZ.;"DATA ENVIO 
P/GAF";"Nº DA
UNIDADE";ENTREPOSTO;AUTORIZ.;"DATA 
ENVIO 
P/DIRETOR";"PROCESSO 
Nº";;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653567;1301388;11.04.2024;MICROCOMPUTADOR CORPORATIVO 24MB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653569;1301390;11.04.2024;MICROCOMPUTADOR CORPORATIVO 24MB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10685982;1341768;21.01.2025;MONITOR CORPORATIVO C/CÂMERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10685983;1341769;21.01.2025;MONITOR CORPORATIVO C/CÂMERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10685984;1341770;21.01.2025;MONITOR CORPORATIVO C/CÂMERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10685985;1341771;21.01.2025;MONITOR CORPORATIVO C/CÂMERA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653597;1301418;11.04.2024;"""Monitor Dell de 23.8"""" C2423H""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653599;1301420;11.04.2024;"""Monitor Dell de 23.8"""" C2423H""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653600;1301421;11.04.2024;"""Monitor Dell de 23.8"""" C2423H""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10653601;1301422;11.04.2024;"""Monitor Dell de 23.8"""" C2423H""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10267625;1155760;31.01.2016;MONITOR PROFESSIONAL 23 POL.WIDESCREEN / DELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10267627;1155762;31.01.2016;MONITOR PROFESSIONAL 23 POL.WIDESCREEN / DELL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10642065;1289881;10.01.2024;SCANNER DUPLEX DE PASSAGEM ÚNICA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10649439;1297256;04.03.2024;TABLET ANDROID WIRELESS 4GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770004;2077;00;04;;;;10649440;1297257;04.03.2024;TABLET ANDROID WIRELESS 4GB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10247232;1063521;13.03.2013;MICROCOMPUTADOR ITAUTEC INFOWAY ST 4265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10224105;908128;06.10.2009;MONITOR VIDEO COLOR 15L1553S ITAUTEC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10610612;1258321;05.05.2022;NOBREAK 3 KVA SALA SERVIDOR UNIDADES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10003494;962000;04.11.2010;PABX GRANDE PORTE TRONCOS DIG./AASTRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10634180;1281967;16.11.2023;SERVIDOR UNID GRANDE PORTE-EQUIPAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10226494;920263;07.01.2010;SWITCH 24 PT 3COM 3CR17561-91 4500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10259497;1125213;13.10.2014;SWITCH L2 - 24 PORTAS - UNIDADES / CISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10259498;1125214;13.10.2014;SWITCH L2 - 24 PORTAS - UNIDADES / CISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10259500;1125216;13.10.2014;SWITCH L2 - 24 PORTAS - UNIDADES / CISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10259501;1125217;13.10.2014;SWITCH L2 - 24 PORTAS - UNIDADES / CISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10251958;1096478;17.04.2014;SWITCH L3 - CORE 32 PORTAS UNIDADES/ CISCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770005;2077;00;05;;;;10240629;1030310;23.03.2012;SWITCH L3 CORE UNIDADES/HP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20770006;2077;00;06;;;;10225857;917124;22.12.2009;ACCESS POINT CORP 3COM 3CRWE776075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
